cueleft  targetleft valid     cued 1 273 1 
cueright targetright valid     cued 1 230 1 
cueright targetright valid     cued 1 224 1 
cueleft  targetleft valid     cued 1 126 1 
cueleft  targetright invalid uncued 0 128 2 
cueright targetright valid     cued 1 323 1 
cueright targetright valid     cued 1 169 1 
cueleft  targetleft valid     cued 1 153 1 
cueright targetright valid     cued 1 113 2 
cueright targetright valid     cued 1 228 1 
cueleft  targetleft valid     cued 1 177 1 
cueleft  targetleft valid     cued 1 161 1 
cueleft  targetleft valid     cued 1 136 1 
cueright targetright valid     cued 1 160 1 
cueright targetright valid     cued 1 151 1 
cueright targetright valid     cued 1 95 1 
cueright targetright valid     cued 1 208 1 
cueleft  targetleft valid     cued 1 184 1 
cueleft  targetleft valid     cued 1 150 1 
cueright targetright valid     cued 1 304 1 
cueright targetright valid     cued 1 121 1 
cueright targetleft invalid uncued 0 401 1 
cueright targetright valid     cued 1 215 1 
cueleft  targetright invalid uncued 0 424 1 
cueleft  targetright invalid uncued 0 199 2 
cueright targetright valid     cued 1 411 1 
cueleft  targetleft valid     cued 1 440 1 
cueleft  targetright invalid uncued 0 454 1 
cueright targetright valid     cued 1 415 1 
cueleft  targetleft valid     cued 1 433 1 
cueright targetright valid     cued 1 248 1 
cueright targetright valid     cued 1 288 1 
cueright targetright valid     cued 1 385 1 
cueleft  targetleft valid     cued 1 377 1 
cueright targetright valid     cued 1 313 1 
cueleft  targetleft valid     cued 1 392 1 
cueleft  targetleft valid     cued 1 408 1 
cueleft  targetleft valid     cued 1 329 1 
cueright targetleft invalid uncued 0 592 1 
cueleft  targetleft valid     cued 1 409 1 
cueleft  targetright invalid uncued 0 464 1 
cueright targetright valid     cued 1 448 1 
cueright targetright valid     cued 1 377 1 
cueright targetleft invalid uncued 0 414 1 
cueright targetleft invalid uncued 0 583 1 
cueright targetright valid     cued 1 440 1 
cueright targetleft invalid uncued 0 457 1 
cueright targetright valid     cued 1 425 1 
cueleft  targetleft valid     cued 1 400 1 
cueleft  targetleft valid     cued 1 550 1 
cueright targetright valid     cued 1 296 1 
cueright targetleft invalid uncued 0 440 1 
cueleft  targetright invalid uncued 0 480 1 
cueright targetright valid     cued 1 463 1 
cueleft  targetleft valid     cued 1 201 1 
cueright targetright valid     cued 1 264 1 
cueright targetleft invalid uncued 0 416 1 
cueleft  targetleft valid     cued 1 344 1 
cueright targetright valid     cued 1 264 1 
cueright targetright valid     cued 1 345 1 
cueright targetright valid     cued 1 384 1 
cueright targetleft invalid uncued 0 392 1 
cueright targetright valid     cued 1 358 1 
cueright targetright valid     cued 1 304 1 
cueright targetright valid     cued 1 377 1 
cueleft  targetleft valid     cued 1 382 1 
cueright targetright valid     cued 1 232 1 
cueright targetright valid     cued 1 368 1 
cueleft  targetleft valid     cued 1 329 1 
cueleft  targetleft valid     cued 1 353 1 
cueright targetleft invalid uncued 0 273 2 
cueright targetleft invalid uncued 0 412 1 
cueleft  targetleft valid     cued 1 225 1 
cueright targetright valid     cued 1 296 1 
cueleft  targetleft valid     cued 1 296 1 
cueleft  targetleft valid     cued 1 384 1 
cueright targetright valid     cued 1 296 1 
cueright targetright valid     cued 1 361 1 
cueright targetright valid     cued 1 263 1 
cueleft  targetleft valid     cued 1 320 1 
cueleft  targetright invalid uncued 0 409 1 
cueleft  targetright invalid uncued 0 409 1 
cueright targetright valid     cued 1 385 1 
cueleft  targetright invalid uncued 0 432 1 
cueleft  targetright invalid uncued 0 433 1 
cueright targetright valid     cued 1 425 1 
cueleft  targetleft valid     cued 1 297 1 
cueleft  targetleft valid     cued 1 214 1 
cueleft  targetleft valid     cued 1 208 1 
cueleft  targetleft valid     cued 1 208 1 
cueleft  targetleft valid     cued 1 193 1 
cueright targetright valid     cued 1 240 1 
cueright targetright valid     cued 1 376 1 
cueleft  targetleft valid     cued 1 224 1 
cueright targetright valid     cued 1 239 1 
cueright targetleft invalid uncued 0 409 1 
cueright targetright valid     cued 1 352 1 
cueleft  targetright invalid uncued 0 256 2 
cueright targetright valid     cued 1 380 1 
cueleft  targetleft valid     cued 1 257 1 
